Arrangement,Model,Study,Selected_C,Fold_AUC,Fold_AUPRC,Fold_F1,Feature,Feature_Type,Species,Species_clean,Species_key,Coefficient,AbsCoefficient,IsNonZero,Direction,AbsCoefRank
All,LASSO_LogisticRegression,YuJ_2015,0.03,0.8453453453453453,0.9019911835738469,0.8085106382978723,PA_Parvimonas micra,PA,Parvimonas micra,Parvimonas micra,parvimonas micra,0.4820565548716728,0.4820565548716728,True,CRC-associated,1
All,LASSO_LogisticRegression,YuJ_2015,0.03,0.8453453453453453,0.9019911835738469,0.8085106382978723,PA_Streptococcus salivarius,PA,Streptococcus salivarius,Streptococcus salivarius,streptococcus salivarius,-0.17159162760479946,0.17159162760479946,True,Control-associated,2
All,LASSO_LogisticRegression,YuJ_2015,0.03,0.8453453453453453,0.9019911835738469,0.8085106382978723,rCLR_Anaerostipes hadrus,rCLR,Anaerostipes hadrus,Anaerostipes hadrus,anaerostipes hadrus,-0.1437701618778428,0.1437701618778428,True,Control-associated,3
All,LASSO_LogisticRegression,YuJ_2015,0.03,0.8453453453453453,0.9019911835738469,0.8085106382978723,rCLR_[Ruminococcus] torques,rCLR,[Ruminococcus] torques,[Ruminococcus] torques,[ruminococcus] torques,0.12548865375372534,0.12548865375372534,True,CRC-associated,4
All,LASSO_LogisticRegression,YuJ_2015,0.03,0.8453453453453453,0.9019911835738469,0.8085106382978723,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,Ruthenibacterium lactatiformans,ruthenibacterium lactatiformans,0.1146937926744676,0.1146937926744676,True,CRC-associated,5
All,LASSO_LogisticRegression,YuJ_2015,0.03,0.8453453453453453,0.9019911835738469,0.8085106382978723,PA_Phocaeicola plebeius,PA,Phocaeicola plebeius,Phocaeicola plebeius,phocaeicola plebeius,0.08991322606705499,0.08991322606705499,True,CRC-associated,6
All,LASSO_LogisticRegression,YuJ_2015,0.03,0.8453453453453453,0.9019911835738469,0.8085106382978723,Age,covariate,Age,Age,age,0.08693906870597692,0.08693906870597692,True,CRC-associated,7
All,LASSO_LogisticRegression,YuJ_2015,0.03,0.8453453453453453,0.9019911835738469,0.8085106382978723,rCLR_Odoribacter splanchnicus,rCLR,Odoribacter splanchnicus,Odoribacter splanchnicus,odoribacter splanchnicus,0.07284458592398373,0.07284458592398373,True,CRC-associated,8
All,LASSO_LogisticRegression,YuJ_2015,0.03,0.8453453453453453,0.9019911835738469,0.8085106382978723,rCLR_Streptococcus thermophilus,rCLR,Streptococcus thermophilus,Streptococcus thermophilus,streptococcus thermophilus,-0.07109177032799355,0.07109177032799355,True,Control-associated,9
All,LASSO_LogisticRegression,YuJ_2015,0.03,0.8453453453453453,0.9019911835738469,0.8085106382978723,PA_Anaerotignum lactatifermentans,PA,Anaerotignum lactatifermentans,Anaerotignum lactatifermentans,anaerotignum lactatifermentans,0.06430714411929794,0.06430714411929794,True,CRC-associated,10
