Arrangement,Model,Study,Selected_C,Fold_AUC,Fold_AUPRC,Fold_F1,Feature,Feature_Type,Species,Species_clean,Species_key,Coefficient,AbsCoefficient,IsNonZero,Direction,AbsCoefRank
All,LASSO_LogisticRegression,ZellerG_2014,0.03,0.6801732137333746,0.6603605172641442,0.6666666666666666,PA_Parvimonas micra,PA,Parvimonas micra,Parvimonas micra,parvimonas micra,0.5971571944837658,0.5971571944837658,True,CRC-associated,1
All,LASSO_LogisticRegression,ZellerG_2014,0.03,0.6801732137333746,0.6603605172641442,0.6666666666666666,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,Ruthenibacterium lactatiformans,ruthenibacterium lactatiformans,0.14423283487135186,0.14423283487135186,True,CRC-associated,2
All,LASSO_LogisticRegression,ZellerG_2014,0.03,0.6801732137333746,0.6603605172641442,0.6666666666666666,rCLR_Dorea formicigenerans,rCLR,Dorea formicigenerans,Dorea formicigenerans,dorea formicigenerans,0.14240192769493995,0.14240192769493995,True,CRC-associated,3
All,LASSO_LogisticRegression,ZellerG_2014,0.03,0.6801732137333746,0.6603605172641442,0.6666666666666666,PA_Streptococcus salivarius,PA,Streptococcus salivarius,Streptococcus salivarius,streptococcus salivarius,-0.13448223383803465,0.13448223383803465,True,Control-associated,4
All,LASSO_LogisticRegression,ZellerG_2014,0.03,0.6801732137333746,0.6603605172641442,0.6666666666666666,rCLR_[Ruminococcus] torques,rCLR,[Ruminococcus] torques,[Ruminococcus] torques,[ruminococcus] torques,0.10599562443905866,0.10599562443905866,True,CRC-associated,5
All,LASSO_LogisticRegression,ZellerG_2014,0.03,0.6801732137333746,0.6603605172641442,0.6666666666666666,rCLR_Anaerostipes hadrus,rCLR,Anaerostipes hadrus,Anaerostipes hadrus,anaerostipes hadrus,-0.09939236322678219,0.09939236322678219,True,Control-associated,6
All,LASSO_LogisticRegression,ZellerG_2014,0.03,0.6801732137333746,0.6603605172641442,0.6666666666666666,Age,covariate,Age,Age,age,0.08010387883411596,0.08010387883411596,True,CRC-associated,7
All,LASSO_LogisticRegression,ZellerG_2014,0.03,0.6801732137333746,0.6603605172641442,0.6666666666666666,rCLR_Streptococcus thermophilus,rCLR,Streptococcus thermophilus,Streptococcus thermophilus,streptococcus thermophilus,-0.07375146573573813,0.07375146573573813,True,Control-associated,8
All,LASSO_LogisticRegression,ZellerG_2014,0.03,0.6801732137333746,0.6603605172641442,0.6666666666666666,PA_Methanobrevibacter smithii,PA,Methanobrevibacter smithii,Methanobrevibacter smithii,methanobrevibacter smithii,0.0678412660984205,0.0678412660984205,True,CRC-associated,9
All,LASSO_LogisticRegression,ZellerG_2014,0.03,0.6801732137333746,0.6603605172641442,0.6666666666666666,rCLR_Odoribacter splanchnicus,rCLR,Odoribacter splanchnicus,Odoribacter splanchnicus,odoribacter splanchnicus,0.06402808376813172,0.06402808376813172,True,CRC-associated,10
All,LASSO_LogisticRegression,ZellerG_2014,0.03,0.6801732137333746,0.6603605172641442,0.6666666666666666,PA_Phocaeicola plebeius,PA,Phocaeicola plebeius,Phocaeicola plebeius,phocaeicola plebeius,0.05588824366364995,0.05588824366364995,True,CRC-associated,11
All,LASSO_LogisticRegression,ZellerG_2014,0.03,0.6801732137333746,0.6603605172641442,0.6666666666666666,rCLR_Eubacterium ventriosum,rCLR,Eubacterium ventriosum,Eubacterium ventriosum,eubacterium ventriosum,-0.0550637153666108,0.0550637153666108,True,Control-associated,12
All,LASSO_LogisticRegression,ZellerG_2014,0.03,0.6801732137333746,0.6603605172641442,0.6666666666666666,PA_Roseburia intestinalis,PA,Roseburia intestinalis,Roseburia intestinalis,roseburia intestinalis,-0.04749022940119893,0.04749022940119893,True,Control-associated,13
All,LASSO_LogisticRegression,ZellerG_2014,0.03,0.6801732137333746,0.6603605172641442,0.6666666666666666,rCLR_Lachnospira pectinoschiza,rCLR,Lachnospira pectinoschiza,Lachnospira pectinoschiza,lachnospira pectinoschiza,-0.03725573365521916,0.03725573365521916,True,Control-associated,14
All,LASSO_LogisticRegression,ZellerG_2014,0.03,0.6801732137333746,0.6603605172641442,0.6666666666666666,rCLR_Flavonifractor plautii,rCLR,Flavonifractor plautii,Flavonifractor plautii,flavonifractor plautii,0.036564929602082664,0.036564929602082664,True,CRC-associated,15
All,LASSO_LogisticRegression,ZellerG_2014,0.03,0.6801732137333746,0.6603605172641442,0.6666666666666666,PA_Collinsella aerofaciens,PA,Collinsella aerofaciens,Collinsella aerofaciens,collinsella aerofaciens,0.03126943286718857,0.03126943286718857,True,CRC-associated,16
All,LASSO_LogisticRegression,ZellerG_2014,0.03,0.6801732137333746,0.6603605172641442,0.6666666666666666,PA_Anaerotignum lactatifermentans,PA,Anaerotignum lactatifermentans,Anaerotignum lactatifermentans,anaerotignum lactatifermentans,0.02852577010820705,0.02852577010820705,True,CRC-associated,17
All,LASSO_LogisticRegression,ZellerG_2014,0.03,0.6801732137333746,0.6603605172641442,0.6666666666666666,rCLR_Bacteroides caccae,rCLR,Bacteroides caccae,Bacteroides caccae,bacteroides caccae,0.027494180037869076,0.027494180037869076,True,CRC-associated,18
All,LASSO_LogisticRegression,ZellerG_2014,0.03,0.6801732137333746,0.6603605172641442,0.6666666666666666,PA_Eubacterium sp. CAG:38,PA,Eubacterium sp. CAG:38,Eubacterium sp. CAG:38,eubacterium sp. cag:38,-0.026314294413836103,0.026314294413836103,True,Control-associated,19
All,LASSO_LogisticRegression,ZellerG_2014,0.03,0.6801732137333746,0.6603605172641442,0.6666666666666666,rCLR_Faecalibacterium prausnitzii,rCLR,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,faecalibacterium prausnitzii,-0.02596979909972654,0.02596979909972654,True,Control-associated,20
