Arrangement,Study,N_train,N_test,Selected_C,AUC,AUPRC,F1,N_nonzero_features,Percent_nonzero_features,N_features_total,CV_folds_used_for_C
All,FengQ_2015,1228,107,0.03,0.7523164647184604,0.7225632187442682,0.6265060240963856,28,12.962962962962964,216,0
All,HanniganGD_2017,1280,55,0.03,0.6018518518518519,0.5735906348094263,0.06896551724137931,36,16.666666666666668,216,0
All,ThomasAM_2018a,1282,53,0.03,0.7169540229885057,0.7674855335808639,0.7352941176470589,34,15.74074074074074,216,0
All,ThomasAM_2018b,1275,60,0.03,0.8046874999999999,0.8587348243585373,0.625,38,17.59259259259259,216,0
All,ThomasAM_2019_c,1255,80,0.03,0.8412499999999999,0.8569197027879785,0.7674418604651163,32,14.814814814814815,216,0
All,VogtmannE_2016,1231,104,0.03,0.6442307692307692,0.645289353971134,0.5316455696202531,30,13.88888888888889,216,0
All,WirbelJ_2018,1210,125,0.03,0.7741025641025642,0.8123156772381174,0.7037037037037037,34,15.74074074074074,216,0
All,YachidaS_2019,826,509,0.03,0.6646128663640014,0.6747118905963487,0.539906103286385,15,6.944444444444445,216,0
All,YuJ_2015,1207,128,0.03,0.8453453453453453,0.9019911835738469,0.8085106382978723,28,12.962962962962964,216,0
All,ZellerG_2014,1221,114,0.03,0.6801732137333746,0.6603605172641442,0.6666666666666666,28,12.962962962962964,216,0
