Arrangement,Model,Species_clean,Species_key,Species_MaxSelectionFrequency,Species_MaxTopKSelectionFrequency,Species_SumMeanAbsNonZeroCoef,Species_BestConsensusRank,N_Selected_FeatureTypes,Any_CRC_Associated,Any_Control_Associated,PA_MeanAbsNonZeroCoef,rCLR_MeanAbsNonZeroCoef,PA_SelectionFrequency,rCLR_SelectionFrequency,Dominant_Signal,SpeciesRank,In_Phase3_1_BlockedWilcoxon_rCLR,In_Phase3_2_CMH_PA,In_Phase3_3_MetaAnalysis_rCLR,In_Any_Formal_Phase3,In_2plus_Formal_Phase3,N_Formal_Phase3_Supports,Species_clean_phase35,categories,is_early,is_late,is_progression,is_ordered_increasing,is_ordered_decreasing,best_trend_direction,best_trend_q
OnlyFemale,LASSO_LogisticRegression,Parvimonas micra,parvimonas micra,1.0,1.0,0.25614635541969966,1,2,True,False,0.25614635541969966,0.0,1.0,0.0,PA,1,False,True,False,True,False,1,Parvimonas micra,LATE,False,True,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0
OnlyFemale,LASSO_LogisticRegression,Ruthenibacterium lactatiformans,ruthenibacterium lactatiformans,0.9,0.9,0.0329678610827997,2,2,True,False,0.0,0.0329678610827997,0.0,0.9,rCLR,2,False,False,False,False,False,0,Ruthenibacterium lactatiformans,LATE;ORDERED_INCREASING,False,True,False,True,False,increasing_Control_to_Adenoma_to_CRC,0.0
OnlyFemale,LASSO_LogisticRegression,Dorea formicigenerans,dorea formicigenerans,0.8,0.8,0.05735992033452664,3,2,True,False,0.0,0.05735992033452664,0.0,0.8,rCLR,3,False,False,False,False,False,0,Dorea formicigenerans,LATE;ORDERED_INCREASING,False,True,False,True,False,increasing_Control_to_Adenoma_to_CRC,0.0
OnlyFemale,LASSO_LogisticRegression,Anaerostipes hadrus,anaerostipes hadrus,0.8,0.8,0.05356727522992074,4,2,False,True,0.0,0.05356727522992074,0.0,0.8,rCLR,4,False,False,False,False,False,0,Anaerostipes hadrus,LATE;ORDERED_DECREASING,False,True,False,False,True,increasing_Control_to_Adenoma_to_CRC,0.0
OnlyFemale,LASSO_LogisticRegression,Flavonifractor plautii,flavonifractor plautii,0.8,0.8,0.04806765900338902,5,2,True,False,0.04806765900338902,0.0,0.8,0.0,PA,5,False,False,False,False,False,0,Flavonifractor plautii,LATE;PROGRESSION,False,True,True,False,False,increasing_Control_to_Adenoma_to_CRC,0.0
OnlyFemale,LASSO_LogisticRegression,Bacteroides fragilis,bacteroides fragilis,0.6,0.6,0.02123466990003166,6,2,True,False,0.0,0.02123466990003166,0.0,0.6,rCLR,6,False,False,False,False,False,0,Bacteroides fragilis,LATE;ORDERED_INCREASING,False,True,False,True,False,increasing_Control_to_Adenoma_to_CRC,0.0
OnlyFemale,LASSO_LogisticRegression,Anaerobutyricum hallii,anaerobutyricum hallii,0.3,0.3,0.016695776638179286,7,2,False,True,0.0,0.016695776638179286,0.0,0.3,rCLR,7,False,False,False,False,False,0,Anaerobutyricum hallii,PROGRESSION,False,False,True,False,False,increasing_Control_to_Adenoma_to_CRC,0.0
OnlyFemale,LASSO_LogisticRegression,Phocaeicola plebeius,phocaeicola plebeius,0.2,0.2,0.008839943616426368,8,2,True,False,0.008839943616426368,0.0,0.2,0.0,PA,8,False,False,False,False,False,0,Phocaeicola plebeius,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0
OnlyFemale,LASSO_LogisticRegression,[Ruminococcus] gnavus,[ruminococcus] gnavus,0.1,0.1,0.028814216193520124,9,2,True,False,0.028814216193520124,0.0,0.1,0.0,PA,9,False,False,False,False,False,0,[Ruminococcus] gnavus,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0
OnlyFemale,LASSO_LogisticRegression,Bacteroides thetaiotaomicron,bacteroides thetaiotaomicron,0.1,0.1,0.016305724385108664,10,2,True,False,0.0,0.016305724385108664,0.0,0.1,rCLR,10,False,False,False,False,False,0,Bacteroides thetaiotaomicron,LATE;PROGRESSION,False,True,True,False,False,increasing_Control_to_Adenoma_to_CRC,0.0
