Arrangement,Model,Study,Selected_C,Fold_AUC,Fold_AUPRC,Fold_F1,Feature,Feature_Type,Species,Species_clean,Species_key,Coefficient,AbsCoefficient,IsNonZero,Direction,AbsCoefRank
OnlyMale,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.8260869565217392,0.9027186784943528,0.6857142857142857,PA_Parvimonas micra,PA,Parvimonas micra,Parvimonas micra,parvimonas micra,0.48724308321483434,0.48724308321483434,True,CRC-associated,1
OnlyMale,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.8260869565217392,0.9027186784943528,0.6857142857142857,PA_Streptococcus salivarius,PA,Streptococcus salivarius,Streptococcus salivarius,streptococcus salivarius,-0.13183086553603102,0.13183086553603102,True,Control-associated,2
OnlyMale,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.8260869565217392,0.9027186784943528,0.6857142857142857,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,Ruthenibacterium lactatiformans,ruthenibacterium lactatiformans,0.11676972580854884,0.11676972580854884,True,CRC-associated,3
OnlyMale,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.8260869565217392,0.9027186784943528,0.6857142857142857,rCLR_Lachnospira eligens,rCLR,Lachnospira eligens,Lachnospira eligens,lachnospira eligens,-0.09075201545476791,0.09075201545476791,True,Control-associated,4
OnlyMale,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.8260869565217392,0.9027186784943528,0.6857142857142857,rCLR_Eubacterium ventriosum,rCLR,Eubacterium ventriosum,Eubacterium ventriosum,eubacterium ventriosum,-0.09070552000427409,0.09070552000427409,True,Control-associated,5
OnlyMale,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.8260869565217392,0.9027186784943528,0.6857142857142857,rCLR_Roseburia intestinalis,rCLR,Roseburia intestinalis,Roseburia intestinalis,roseburia intestinalis,-0.062176313292704226,0.062176313292704226,True,Control-associated,6
OnlyMale,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.8260869565217392,0.9027186784943528,0.6857142857142857,rCLR_Odoribacter splanchnicus,rCLR,Odoribacter splanchnicus,Odoribacter splanchnicus,odoribacter splanchnicus,0.05972585041700406,0.05972585041700406,True,CRC-associated,7
OnlyMale,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.8260869565217392,0.9027186784943528,0.6857142857142857,Age,covariate,Age,Age,age,0.05163969248391015,0.05163969248391015,True,CRC-associated,8
OnlyMale,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.8260869565217392,0.9027186784943528,0.6857142857142857,PA_Anaerotignum lactatifermentans,PA,Anaerotignum lactatifermentans,Anaerotignum lactatifermentans,anaerotignum lactatifermentans,0.03344930225447517,0.03344930225447517,True,CRC-associated,9
OnlyMale,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.8260869565217392,0.9027186784943528,0.6857142857142857,PA_Collinsella aerofaciens,PA,Collinsella aerofaciens,Collinsella aerofaciens,collinsella aerofaciens,0.025600734613490474,0.025600734613490474,True,CRC-associated,10
OnlyMale,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.8260869565217392,0.9027186784943528,0.6857142857142857,rCLR_Fusicatenibacter saccharivorans,rCLR,Fusicatenibacter saccharivorans,Fusicatenibacter saccharivorans,fusicatenibacter saccharivorans,-0.022398938700935116,0.022398938700935116,True,Control-associated,11
OnlyMale,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.8260869565217392,0.9027186784943528,0.6857142857142857,rCLR_Paraprevotella xylaniphila,rCLR,Paraprevotella xylaniphila,Paraprevotella xylaniphila,paraprevotella xylaniphila,-0.02105505016034094,0.02105505016034094,True,Control-associated,12
OnlyMale,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.8260869565217392,0.9027186784943528,0.6857142857142857,PA_Bifidobacterium bifidum,PA,Bifidobacterium bifidum,Bifidobacterium bifidum,bifidobacterium bifidum,-0.013657718794784196,0.013657718794784196,True,Control-associated,13
OnlyMale,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.8260869565217392,0.9027186784943528,0.6857142857142857,PA_Bacteroides salyersiae,PA,Bacteroides salyersiae,Bacteroides salyersiae,bacteroides salyersiae,0.0069877018493112375,0.0069877018493112375,True,CRC-associated,14
OnlyMale,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.8260869565217392,0.9027186784943528,0.6857142857142857,rCLR_Lachnospira pectinoschiza,rCLR,Lachnospira pectinoschiza,Lachnospira pectinoschiza,lachnospira pectinoschiza,-0.0043872488255261915,0.0043872488255261915,True,Control-associated,15
