Arrangement,Study,N_train,N_test,Selected_C,AUC,AUPRC,F1,N_nonzero_features,Percent_nonzero_features,N_features_total,CV_folds_used_for_C
OnlyMale,FengQ_2015,733,64,0.03,0.7123015873015872,0.6791714255762785,0.6,12,5.5813953488372094,215,0
OnlyMale,HanniganGD_2017,766,31,0.03,0.5909090909090909,0.7724495119240249,0.09523809523809523,17,7.906976744186046,215,0
OnlyMale,ThomasAM_2018a,761,36,0.03,0.7591973244147157,0.8657501900465567,0.5945945945945946,14,6.511627906976744,215,0
OnlyMale,ThomasAM_2018b,758,39,0.03,0.8260869565217392,0.9027186784943528,0.6857142857142857,15,6.976744186046512,215,0
OnlyMale,ThomasAM_2019_c,752,45,0.03,0.8630952380952381,0.8353806779469888,0.7804878048780488,12,5.5813953488372094,215,0
OnlyMale,VogtmannE_2016,723,74,0.03,0.5814463111760408,0.6155004821897117,0.41509433962264153,13,6.046511627906977,215,0
OnlyMale,WirbelJ_2018,724,73,0.03,0.8003003003003003,0.850605898008823,0.6984126984126984,15,6.976744186046512,215,0
OnlyMale,YachidaS_2019,500,297,0.03,0.6763564121300695,0.6977843450642618,0.549800796812749,5,2.3255813953488373,215,0
OnlyMale,YuJ_2015,716,81,0.03,0.8409090909090909,0.9004526933952341,0.7727272727272727,15,6.976744186046512,215,0
OnlyMale,ZellerG_2014,740,57,0.03,0.7352216748768473,0.7289542564798885,0.7076923076923077,15,6.976744186046512,215,0
