Study,Condition,Gender,n
FengQ_2015,Adenoma,Female,24
FengQ_2015,Adenoma,Male,23
FengQ_2015,CRC,Female,18
FengQ_2015,CRC,Male,28
FengQ_2015,Control,Female,25
FengQ_2015,Control,Male,36
GuptaA_2019,CRC,Female,12
GuptaA_2019,CRC,Male,18
GuptaA_2019,Control,Female,18
GuptaA_2019,Control,Male,12
HanniganGD_2017,Adenoma,Female,11
HanniganGD_2017,Adenoma,Male,15
HanniganGD_2017,CRC,Female,7
HanniganGD_2017,CRC,Male,20
HanniganGD_2017,Control,Female,17
HanniganGD_2017,Control,Male,11
KIM_ADENOMAS_2020,Adenoma,Female,40
KIM_ADENOMAS_2020,Adenoma,Male,62
KIM_ADENOMAS_2020,CRC,Female,16
KIM_ADENOMAS_2020,CRC,Male,20
KIM_ADENOMAS_2020,Control,Female,40
KIM_ADENOMAS_2020,Control,Male,62
SINHA_CRC_2016,CRC,Female,17
SINHA_CRC_2016,CRC,Male,25
SINHA_CRC_2016,Control,Female,33
SINHA_CRC_2016,Control,Male,56
ThomasAM_2018a,Adenoma,Female,11
ThomasAM_2018a,Adenoma,Male,16
ThomasAM_2018a,CRC,Female,6
ThomasAM_2018a,CRC,Male,23
ThomasAM_2018a,Control,Female,11
ThomasAM_2018a,Control,Male,13
ThomasAM_2018b,CRC,Female,9
ThomasAM_2018b,CRC,Male,23
ThomasAM_2018b,Control,Female,12
ThomasAM_2018b,Control,Male,16
ThomasAM_2019_c,CRC,Female,19
ThomasAM_2019_c,CRC,Male,21
ThomasAM_2019_c,Control,Female,16
ThomasAM_2019_c,Control,Male,24
VogtmannE_2016,CRC,Female,15
VogtmannE_2016,CRC,Male,37
VogtmannE_2016,Control,Female,15
VogtmannE_2016,Control,Male,37
WirbelJ_2018,CRC,Female,24
WirbelJ_2018,CRC,Male,36
WirbelJ_2018,Control,Female,28
WirbelJ_2018,Control,Male,37
YachidaS_2019,Adenoma,Female,19
YachidaS_2019,Adenoma,Male,48
YachidaS_2019,CRC,Female,97
YachidaS_2019,CRC,Male,161
YachidaS_2019,Control,Female,115
YachidaS_2019,Control,Male,136
YuJ_2015,CRC,Female,26
YuJ_2015,CRC,Male,48
YuJ_2015,Control,Female,21
YuJ_2015,Control,Male,33
ZellerG_2014,Adenoma,Female,12
ZellerG_2014,Adenoma,Male,30
ZellerG_2014,CRC,Female,24
ZellerG_2014,CRC,Male,29
ZellerG_2014,Control,Female,33
ZellerG_2014,Control,Male,28
